uid,title,genre,popularity,ranked,score
28891,Haikyuu!! Second Season,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",141,25.0,8.82
23273,Shigatsu wa Kimi no Uso,"['Drama', 'Music', 'Romance', 'School', 'Shounen']",28,24.0,8.83
34599,Made in Abyss,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']",98,23.0,8.83
5114,Fullmetal Alchemist: Brotherhood,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']",4,1.0,9.23
31758,Kizumonogatari III: Reiketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",502,22.0,8.83
37510,Mob Psycho 100 II,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']",176,21.0,8.89
199,Sen to Chihiro no Kamikakushi,"['Adventure', 'Supernatural', 'Drama']",40,20.0,8.9
38000,Kimetsu no Yaiba,"['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']",106,19.0,8.92
35247,Owarimonogatari 2nd Season,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']",573,18.0,8.93
2904,Code Geass: Hangyaku no Lelouch R2,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']",27,17.0,8.93
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",223,16.0,8.94
34096,Gintama.,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",800,15.0,8.94
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",833,14.0,8.95
918,Gintama,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",97,13.0,8.97
4181,Clannad: After Story,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance']",64,12.0,8.97
15417,Gintama': Enchousen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",667,11.0,8.98
30276,One Punch Man,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural', 'Seinen']",5,50.0,8.68
16664,Kaguya-hime no Monogatari,"['Fantasy', 'Historical']",1106,250.0,8.28
4672,Koukaku Kidoutai 2.0,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']",1457,500.0,8.06
8038,Nodame Cantabile: Finale - Mine to Kiyora no Saikai,"['Comedy', 'Josei', 'Music', 'Romance']",2428,750.0,7.88
7588,Saraiya Goyou,"['Mystery', 'Historical', 'Drama', 'Samurai', 'Seinen']",1650,800.0,7.86
1253,Saint Seiya: Meiou Hades Meikai-hen,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']",2409,799.0,7.86
20767,Noragami OVA,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']",539,798.0,7.86
1425,Lupin III: Part II,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']",3237,796.0,7.86
35363,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai","['Slice of Life', 'Comedy', 'Fantasy']",1238,794.0,7.86
22673,Kuroko no Basket 2nd Season NG-shuu,"['Comedy', 'Sports']",2263,795.0,7.86
6862,K-On!: Live House!,"['Comedy', 'Music', 'School', 'Slice of Life']",1082,793.0,7.86
5680,K-On!,"['Slice of Life', 'Comedy', 'Music', 'School']",90,792.0,7.86
451,InuYasha Movie 3: Tenka Hadou no Ken,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']",1527,791.0,7.86
9563,Hidamari Sketch x ☆☆☆ Specials,"['Slice of Life', 'Comedy', 'School', 'Seinen']",4073,790.0,7.86
30364,Haikyuu!! Movie 2: Shousha to Haisha,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",2698,789.0,7.86
33280,Gochuumon wa Usagi Desu ka??: Dear My Sister,"['Slice of Life', 'Comedy']",3141,788.0,7.86
36369,Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",4041,787.0,7.86
27633,Gekkan Shoujo Nozaki-kun Specials,"['Comedy', 'Romance', 'School']",1233,786.0,7.86
31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season","['Action', 'Military', 'Adventure', 'Fantasy']",297,785.0,7.86
38145,"Doukyonin wa Hiza, Tokidoki, Atama no Ue.","['Slice of Life', 'Comedy']",1216,784.0,7.86
552,Digimon Adventure,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",356,783.0,7.86
1689,Byousoku 5 Centimeter,"['Slice of Life', 'Drama', 'Romance']",108,781.0,7.86
8609,Detective Conan OVA 10: Kid in Trap Island,"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']",3969,782.0,7.86
34944,Bungou Stray Dogs: Dead Apple,"['Action', 'Comedy', 'Mystery', 'Super Power', 'Supernatural']",1448,780.0,7.86
36214,Asagao to Kase-san.,"['Romance', 'School', 'Shoujo Ai']",2426,779.0,7.86
32863,Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,"['Action', 'Comedy', 'School', 'Shounen']",2435,778.0,7.86
36160,Yaoguai Mingdan 2nd Season,"['Action', 'Comedy', 'Romance', 'Fantasy']",5659,777.0,7.87
33064,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",3747,776.0,7.87
2265,Transformers the Movie,"['Action', 'Mecha']",4133,775.0,7.87
11001,Toshokan Sensou: Kakumei no Tsubasa,"['Action', 'Comedy', 'Military', 'Romance']",3495,774.0,7.87
39940,Shokugeki no Souma: Shin no Sara,"['Ecchi', 'School', 'Shounen']",683,773.0,7.87
322,Paradise Kiss,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",916,772.0,7.87
38958,Manga de Wakaru! Fate/Grand Order,['Comedy'],4889,770.0,7.87
4472,Lucky☆Star: Original na Visual to Animation,"['Comedy', 'Parody', 'School', 'Slice of Life']",1056,769.0,7.87
97,Last Exile,"['Action', 'Sci-Fi', 'Adventure']",810,768.0,7.87
468,Koukaku Kidoutai 2: Innocence,"['Military', 'Sci-Fi', 'Police', 'Psychological', 'Mecha']",929,767.0,7.87
7645,Heartcatch Precure!,"['Action', 'Slice of Life', 'Fantasy', 'Magic', 'Comedy', 'School', 'Shoujo']",3162,763.0,7.87
3604,Hidamari Sketch x 365,"['Slice of Life', 'Comedy', 'School', 'Seinen']",2855,764.0,7.87
1491,Ginga Tetsudou 999,"['Sci-Fi', 'Adventure', 'Space', 'Drama']",3080,761.0,7.87
19319,Gundam Build Fighters,"['Action', 'Sci-Fi', 'Mecha']",1890,762.0,7.87
1571,Ghost Hunt,"['Mystery', 'Comedy', 'Horror', 'Supernatural', 'Shoujo']",630,760.0,7.87
35222,Gakuen Babysitters,"['Comedy', 'School', 'Shoujo', 'Slice of Life']",1171,759.0,7.87
38770,Detective Conan Movie 23: The Fist of Blue Sapphire,"['Action', 'Mystery', 'Comedy', 'Police', 'Drama', 'Shounen']",4732,758.0,7.87
269,Bleach,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']",25,757.0,7.87
30123,Akagami no Shirayuki-hime,"['Fantasy', 'Romance', 'Drama', 'Shoujo']",289,756.0,7.87
32998,91 Days,"['Action', 'Drama', 'Historical']",281,755.0,7.87
202,Wolf's Rain,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",425,754.0,7.88
5005,Tentai Senshi Sunred,"['Comedy', 'Parody', 'Super Power', 'Seinen']",3391,753.0,7.88
18397,Shingeki no Kyojin OVA,"['Action', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",480,751.0,7.88
3750,Maria-sama ga Miteru 4th,"['School', 'Shoujo', 'Shoujo Ai', 'Slice of Life']",3569,749.0,7.88
33263,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,"['Action', 'Mystery', 'Supernatural', 'Drama']",1648,748.0,7.88
32380,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,"['Magic', 'Adventure', 'Fantasy', 'Comedy', 'Supernatural']",600,747.0,7.88
35860,Karakai Jouzu no Takagi-san,"['Romance', 'Comedy', 'School', 'Slice of Life', 'Shounen']",442,746.0,7.88
3092,Junjou Romantica,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",647,745.0,7.88
38084,Fate/Grand Order: Zettai Majuu Sensen Babylonia,"['Action', 'Fantasy', 'Magic', 'Supernatural']",1355,744.0,7.88
37033,Emiya-san Chi no Kyou no Gohan,"['Slice of Life', 'Comedy']",1680,743.0,7.88
28999,Charlotte,"['Drama', 'School', 'Super Power']",66,742.0,7.88
388,Capeta,"['Cars', 'Shounen', 'Sports']",3511,741.0,7.88
9724,Break Blade 5: Shisen no Hate,"['Action', 'Military', 'Fantasy', 'Mecha', 'Shounen']",1934,740.0,7.88
37985,Aggressive Retsuko (ONA) 2nd Season,"['Slice of Life', 'Comedy']",2645,739.0,7.88
38435,Yao Shen Ji 3rd Season,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Martial Arts', 'Romance']",6783,738.0,7.89
20057,Space☆Dandy,"['Sci-Fi', 'Space', 'Comedy']",500,737.0,7.89
1172,Slayers Try,"['Adventure', 'Comedy', 'Demons', 'Magic', 'Fantasy', 'Shounen']",2090,736.0,7.89
397,Seikai no Senki II,"['Action', 'Military', 'Romance', 'Sci-Fi', 'Space']",3331,735.0,7.89
2273,Mobile Suit Gundam Wing: Endless Waltz Movie,"['Action', 'Space', 'Mecha', 'Military', 'Drama', 'Sci-Fi']",2014,734.0,7.89
4080,Kyou kara Maou! 3rd Series,"['Adventure', 'Comedy', 'Demons', 'Fantasy', 'Shoujo']",2804,733.0,7.89
11887,Kokoro Connect,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'School']",135,732.0,7.89
254,Jungle wa Itsumo Hare nochi Guu Deluxe,"['Comedy', 'Slice of Life']",4248,731.0,7.89
11135,Hybrid Child,"['Drama', 'Historical', 'Romance', 'Sci-Fi', 'Shounen Ai']",1942,730.0,7.89
13119,Hakuouki Movie 2: Shikon Soukyuu,"['Action', 'Historical', 'Supernatural', 'Drama', 'Samurai', 'Josei']",3615,729.0,7.89
29755,Haikyuu!! Movie 1: Owari to Hajimari,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",2479,728.0,7.89
267,Gungrave,"['Action', 'Drama', 'Sci-Fi', 'Seinen', 'Super Power']",812,727.0,7.89
4872,Goku Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']",1858,726.0,7.89
3665,Ginga Eiyuu Densetsu Gaiden (1999),"['Drama', 'Military', 'Sci-Fi', 'Space']",3845,725.0,7.89
37150,Douluo Dalu,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts', 'Romance']",4566,724.0,7.89
6768,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,"['Action', 'Military', 'Super Power', 'Mecha']",2372,723.0,7.89
12403,Yuru Yuri♪♪,"['Slice of Life', 'Comedy', 'School', 'Shoujo Ai']",859,722.0,7.9
39597,Sword Art Online: Alicization - War of Underworld,"['Action', 'Game', 'Adventure', 'Romance', 'Fantasy']",568,721.0,7.9
15771,Saint☆Oniisan (Movie),"['Comedy', 'Seinen', 'Slice of Life']",1753,720.0,7.9
82,Mobile Suit Gundam 0080: War in the Pocket,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",2298,719.0,7.9
34745,Mahoujin Guruguru (2017),"['Adventure', 'Fantasy', 'Magic', 'Comedy', 'Shounen']",2880,718.0,7.9
3782,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),"['Action', 'Mystery', 'Supernatural', 'Romance', 'Thriller']",670,717.0,7.9
253,Jungle wa Itsumo Hare nochi Guu,"['Slice of Life', 'Comedy', 'School']",2696,716.0,7.9
12413,Jormungand,"['Action', 'Adventure', 'Seinen']",464,715.0,7.9
5630,Higashi no Eden,"['Action', 'Sci-Fi', 'Mystery', 'Drama', 'Romance', 'Thriller']",214,714.0,7.89
38816,Hello World,['Sci-Fi'],3089,713.0,7.9
29787,Gochuumon wa Usagi Desu ka??,"['Slice of Life', 'Comedy']",1357,712.0,7.9
2321,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,"['Action', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha', 'Shounen']",3310,711.0,7.9
37822,Douluo Dalu 2nd Season,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Martial Arts', 'Fantasy']",5587,710.0,7.9
4447,Detective Conan Movie 12: Full Score of Fear,"['Adventure', 'Police', 'Comedy', 'Mystery', 'Shounen']",2557,709.0,7.9
1505,Detective Conan Movie 09: Strategy Above the Depths,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",2476,708.0,7.9
1472,City Hunter 3,"['Action', 'Comedy', 'Mystery', 'Shounen']",4061,707.0,7.9
9465,Break Blade 4: Sanka no Chi,"['Action', 'Fantasy', 'Mecha', 'Military', 'Shounen']",1882,706.0,7.9
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),"['Slice of Life', 'Psychological', 'Drama', 'School']",279,705.0,7.91
38349,Wotaku ni Koi wa Muzukashii: Youth,"['Slice of Life', 'Comedy', 'Romance']",2026,704.0,7.91
17949,The Everlasting Guilty Crown,['Music'],2979,703.0,7.91
12445,Tasogare Otome x Amnesia,"['Horror', 'Mystery', 'Romance', 'School', 'Shounen', 'Supernatural']",366,702.0,7.91
1254,Saint Seiya,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']",939,701.0,7.91
35073,Overlord II,"['Action', 'Game', 'Adventure', 'Supernatural', 'Magic', 'Fantasy']",172,700.0,7.91
597,Neko no Ongaeshi,"['Adventure', 'Drama', 'Fantasy']",774,699.0,7.91
569,Musekinin Kanchou Tylor,"['Military', 'Sci-Fi', 'Space', 'Comedy', 'Parody']",2462,698.0,7.91
19111,Love Live! School Idol Project 2nd Season,"['Music', 'School', 'Slice of Life']",641,697.0,7.91
14349,Little Witch Academia,"['Adventure', 'Comedy', 'Magic', 'Fantasy', 'School']",470,696.0,7.91
4898,Kuroshitsuji,"['Action', 'Mystery', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Shounen']",71,695.0,7.91
249,InuYasha (TV),"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Magic', 'Romance', 'Fantasy', 'Shounen']",164,694.0,7.91
12893,Danshi Koukousei no Nichijou Specials,"['Comedy', 'School', 'Shounen', 'Slice of Life']",1290,693.0,7.91
8142,Colorful (Movie),"['Slice of Life', 'Supernatural', 'Drama']",1003,692.0,7.91
532,Bishoujo Senshi Sailor Moon S,"['Drama', 'Magic', 'Romance', 'Shoujo']",1163,691.0,7.91
21185,Baby Steps,"['Romance', 'School', 'Shounen', 'Sports']",1083,690.0,7.91
890,Yuusha-Ou GaoGaiGar,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",3700,689.0,7.92
543,Vampire Hunter D (2000),"['Action', 'Sci-Fi', 'Horror', 'Drama', 'Romance', 'Vampire', 'Fantasy']",1043,688.0,7.92
949,Top wo Nerae! Gunbuster,"['Action', 'Comedy', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']",1283,687.0,7.92
34504,Seitokai Yakuindomo Movie,"['Slice of Life', 'Comedy', 'School', 'Shounen']",2553,686.0,7.92
1729,Maria-sama ga Miteru 3rd,"['Drama', 'School', 'Shoujo Ai', 'Slice of Life']",3506,685.0,7.92
8310,Magic Kaito,"['Adventure', 'Comedy', 'Romance', 'Shounen']",1991,684.0,7.92
35075,Hoozuki no Reitetsu 2nd Season,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']",2629,683.0,7.92
35678,Hibike! Euphonium Movie 3: Chikai no Finale,"['Drama', 'Music', 'School']",2993,682.0,7.92
15809,Hataraku Maou-sama!,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy']",55,681.0,7.92
35111,Haikyuu!! Movie 4: Concept no Tatakai,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",3333,680.0,7.92
7304,Detective Conan Movie 08: Time Travel of the Silver Sky,"['Adventure', 'Mystery']",3905,679.0,7.92
1366,Detective Conan Movie 07: Crossroad in the Ancient Capital,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",2402,678.0,7.92
23225,Yuru Yuri Nachuyachumi!,"['Comedy', 'Shoujo Ai', 'Slice of Life']",1863,677.0,7.93
17909,Uchouten Kazoku,"['Slice of Life', 'Comedy', 'Demons', 'Drama', 'Fantasy']",936,675.0,7.93
10521,Working'!!,"['Comedy', 'Romance', 'Seinen', 'Slice of Life']",576,676.0,7.93
22319,Tokyo Ghoul,"['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']",6,674.0,7.93
400,Seihou Bukyou Outlaw Star,"['Action', 'Sci-Fi', 'Adventure', 'Space', 'Comedy']",1016,673.0,7.93
9088,Saiyuuki Gaiden,"['Action', 'Adventure', 'Drama', 'Fantasy']",4352,672.0,7.93
33190,Planetarian: Hoshi no Hito,"['Sci-Fi', 'Drama']",2636,671.0,7.93
20,Naruto,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",9,670.0,7.93
33221,Mobile Suit Gundam Thunderbolt: December Sky,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",4091,669.0,7.93
22097,Magi: Sinbad no Bouken,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']",1281,668.0,7.93
3014,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,"['Action', 'Military', 'Sci-Fi', 'Space']",2808,667.0,7.93
2890,Gake no Ue no Ponyo,"['Adventure', 'Fantasy']",388,666.0,7.93
6702,Fairy Tail,"['Action', 'Adventure', 'Comedy', 'Magic', 'Fantasy', 'Shounen']",21,665.0,7.93
2035,Eikoku Koi Monogatari Emma: Molders-hen,"['Slice of Life', 'Romance', 'Historical', 'Drama', 'Seinen']",3375,664.0,7.93
6351,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen","['Drama', 'Romance', 'School']",567,663.0,7.93
6377,Zan Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']",1391,661.0,7.94
1485,Akachan to Boku,"['Comedy', 'Drama', 'Shoujo']",3772,662.0,7.93
4163,Seto no Hanayome OVA,"['Comedy', 'Parody', 'Romance', 'School', 'Shounen']",2115,660.0,7.94
2143,Saiyuuki Reload: Burial,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Shoujo']",4309,659.0,7.94
6007,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,"['Adventure', 'Fantasy', 'Historical', 'Romance']",923,658.0,7.94
25517,Magic Kaito 1412,"['Adventure', 'Comedy', 'Romance', 'Shounen']",1394,657.0,7.94
27947,Lupin III (2015),"['Action', 'Adventure', 'Comedy', 'Mystery', 'Seinen']",2227,656.0,7.94
1695,Les Misérables: Shoujo Cosette,"['Slice of Life', 'Historical', 'Drama', 'Shoujo']",3462,655.0,7.94
187,Initial D Third Stage,"['Action', 'Cars', 'Sports', 'Drama', 'Romance', 'Seinen']",1293,654.0,7.94
14175,Hanasaku Iroha: Home Sweet Home,"['Slice of Life', 'Comedy', 'Drama']",1727,652.0,7.94
24471,Hoozuki no Reitetsu OVA,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']",3956,653.0,7.94
35110,Haikyuu!! Movie 3: Sainou to Sense,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",3148,651.0,7.94
35120,Devilman: Crybaby,"['Action', 'Dementia', 'Demons', 'Horror', 'Supernatural']",261,650.0,7.94
779,Detective Conan Movie 01: The Timed Skyscraper,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",2036,649.0,7.94
10012,Carnival Phantasm,"['Comedy', 'Parody', 'Supernatural']",901,648.0,7.94
2605,Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']",407,646.0,7.95
31973,Mobile Suit Gundam Thunderbolt,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",2441,645.0,7.95
4985,Mahou Shoujo Lyrical Nanoha: The Movie 1st,"['Action', 'Magic', 'Comedy', 'Sci-Fi', 'Drama']",2786,644.0,7.95
3572,Macross F,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Music', 'Sci-Fi']",941,643.0,7.95
4280,Kara no Kyoukai 4: Garan no Dou,"['Action', 'Mystery', 'Supernatural', 'Thriller']",744,642.0,7.95
429,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,"['Comedy', 'Drama', 'Shoujo']",4075,641.0,7.95
5781,Isekai no Seikishi Monogatari,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Mecha', 'School']",860,640.0,7.95
10029,Coquelicot-zaka kara,"['Historical', 'Romance', 'School', 'Shoujo']",1230,639.0,7.95
38250,Xiao Lu He Xiao Lan,"['Game', 'Sci-Fi', 'Slice of Life', 'Comedy', 'Drama', 'Magic', 'School', 'Shounen Ai']",7834,637.0,7.96
16916,Kuroko no Basket: Tip Off,"['Sports', 'Comedy', 'School', 'Shounen']",1584,636.0,7.96
7062,Hidamari Sketch x ☆☆☆,"['Slice of Life', 'Comedy', 'School', 'Seinen']",3102,635.0,7.96
2623,Flanders no Inu (Movie),"['Drama', 'Historical']",3691,634.0,7.96
790,Ergo Proxy,"['Psychological', 'Mystery', 'Sci-Fi']",201,633.0,7.96
8408,Durarara!! Specials,"['Action', 'Comedy', 'Supernatural']",835,632.0,7.96
780,Detective Conan Movie 02: The Fourteenth Target,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",2170,631.0,7.96
24921,Aoki Hagane no Arpeggio: Ars Nova Cadenza,"['Action', 'Sci-Fi', 'Seinen']",2953,630.0,7.96
658,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,"['Game', 'Psychological', 'Thriller', 'Seinen']",1473,629.0,7.97
2158,Terra e... (TV),"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",1931,628.0,7.97
22,Tennis no Ouji-sama,"['Action', 'Comedy', 'Sports', 'School', 'Shounen']",915,627.0,7.97
9926,Sekaiichi Hatsukoi,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",775,626.0,7.97
26123,Seitokai Yakuindomo* OVA,"['Slice of Life', 'Comedy', 'School', 'Shounen']",1850,625.0,7.97
30745,Kyoukai no Kanata Movie: I'll Be Here - Kako-hen - Yakusoku no Kizuna,['Music'],2477,624.0,7.97
13767,Junjou Romantica OVA,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",2306,623.0,7.97
2762,Igano Kabamaru,"['Action', 'Adventure', 'Comedy', 'Romance', 'School', 'Shounen']",4815,622.0,7.97
33899,IDOLiSH7,['Music'],2904,621.0,7.97
967,Hokuto no Ken,"['Action', 'Drama', 'Martial Arts', 'Sci-Fi', 'Shounen']",1360,620.0,7.97
30415,High☆Speed!: Free! Starting Days,"['Comedy', 'Drama', 'School', 'Slice of Life', 'Sports']",1886,619.0,7.97
11239,Hidamari Sketch x Honeycomb,"['Slice of Life', 'Comedy', 'School', 'Seinen']",3406,618.0,7.97
22043,Fairy Tail (2014),"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Magic', 'Shounen']",115,617.0,7.97
6505,There She Is!!,"['Comedy', 'Romance']",3255,615.0,7.98
32093,Tanaka-kun wa Itsumo Kedaruge,"['Slice of Life', 'Comedy', 'School']",457,613.0,7.98
6582,Tentai Senshi Sunred 2nd Season,"['Comedy', 'Parody', 'Seinen', 'Super Power']",5234,614.0,7.98
114,Sakigake!! Cromartie Koukou,"['Comedy', 'School', 'Shounen']",1100,612.0,7.98
85,Mobile Suit Zeta Gundam,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Romance', 'Mecha']",2016,611.0,7.98
25649,Junjou Romantica 3,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",1470,610.0,7.98
996,Bishoujo Senshi Sailor Moon: Sailor Stars,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'Shoujo']",1452,608.0,7.98
6586,Yume-iro Pâtissière,"['Kids', 'School', 'Shoujo']",1819,607.0,7.99
3588,Soul Eater,"['Action', 'Fantasy', 'Comedy', 'Supernatural', 'Shounen']",32,606.0,7.99
12815,Shirokuma Cafe,"['Slice of Life', 'Comedy', 'Josei']",1568,605.0,7.99
24,School Rumble,"['Comedy', 'Romance', 'School', 'Shounen']",412,604.0,7.99
17549,Non Non Biyori,"['Comedy', 'School', 'Seinen', 'Slice of Life']",422,603.0,7.99
18429,Lupin III vs. Detective Conan: The Movie,"['Action', 'Comedy', 'Mystery', 'Shounen']",3326,602.0,7.99
34451,Kekkai Sensen & Beyond,"['Action', 'Comedy', 'Fantasy', 'Shounen', 'Super Power', 'Supernatural', 'Vampire']",478,601.0,7.99
13331,Jormungand: Perfect Order,"['Action', 'Adventure', 'Seinen']",872,600.0,7.99
9289,Hanasaku Iroha,"['Slice of Life', 'Comedy', 'Drama']",459,599.0,7.99
36370,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",4598,598.0,8.0
3371,Ginga Eiyuu Densetsu Gaiden,"['Action', 'Military', 'Sci-Fi', 'Space']",3632,597.0,7.99
22961,Date A Live II: Kurumi Star Festival,"['Slice of Life', 'Romance']",1110,596.0,7.99
1470,City Hunter,"['Action', 'Comedy', 'Mystery', 'Shounen']",2221,595.0,7.99
39565,Boku no Hero Academia the Movie 2: Heroes:Rising,"['Action', 'Comedy', 'Super Power', 'School', 'Shounen']",1408,594.0,7.97
9513,Beelzebub,"['Action', 'Comedy', 'Demons', 'Supernatural', 'School', 'Shounen']",238,593.0,7.99
28,Yakitate!! Japan,"['Comedy', 'Shounen']",1476,592.0,8.0
38917,Tong Ling Fei,"['Comedy', 'Historical', 'Drama', 'Romance']",4821,590.0,8.0
793,xxxHOLiC Movie: Manatsu no Yoru no Yume,"['Mystery', 'Comedy', 'Psychological', 'Supernatural', 'Drama']",1856,591.0,8.0
9941,Tiger & Bunny,"['Action', 'Mystery', 'Comedy', 'Super Power']",682,589.0,8.0
11813,Shijou Saikyou no Deshi Kenichi OVA,"['Action', 'Martial Arts', 'Comedy', 'School', 'Shounen']",2177,588.0,8.0
27775,Plastic Memories,"['Sci-Fi', 'Drama', 'Romance']",156,587.0,8.0
40179,Mini Toji: Yume,"['Action', 'Fantasy']",10935,586.0,8.0
7222,Macross F Movie 2: Sayonara no Tsubasa,"['Action', 'Mecha', 'Military', 'Music', 'Romance', 'Sci-Fi', 'Space']",3042,585.0,8.0
1088,Macross,"['Action', 'Mecha', 'Military', 'Music', 'Romance', 'Sci-Fi', 'Space']",1479,584.0,8.0
35857,Lupin III: Part 5,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']",3095,583.0,8.0
387,Haibane Renmei,"['Slice of Life', 'Mystery', 'Psychological', 'Drama', 'Fantasy']",599,581.0,8.0
1594,Jigoku Shoujo Futakomori,"['Mystery', 'Horror', 'Psychological', 'Supernatural']",970,582.0,8.0
