uid,title,genre,popularity,ranked,score
37126,Nobunaga no Shinobi: Anegawa Ishiyama-hen,"['Comedy', 'Historical']",5437,3772.0,7.01
1152,New Dominion Tank Police,"['Police', 'Comedy', 'Mecha', 'Sci-Fi', 'Shounen']",4838,3771.0,7.01
1399,Macross 7 Encore,"['Action', 'Sci-Fi', 'Music', 'Space', 'Comedy', 'Drama', 'Mecha', 'Shounen']",4956,3770.0,7.01
3654,Macademi Wasshoi!,"['Comedy', 'Ecchi', 'Fantasy', 'Romance', 'School', 'Supernatural']",2286,3769.0,7.01
1438,Lupin III: Lupin Ansatsu Shirei,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']",5852,3768.0,7.01
36790,Ling Yu 2nd Season,['Fantasy'],9003,3767.0,7.01
39080,Ling Jian Zun,"['Action', 'Fantasy']",9673,3766.0,7.01
968,Kakutou Bijin Wulong: Rebirth,"['Action', 'Comedy', 'Martial Arts', 'School', 'Shounen']",7233,3765.0,7.01
2891,Iblard Jikan,['Fantasy'],3551,3764.0,7.01
32700,Heart Realize,['Music'],5738,3762.0,7.01
1020,Honoo no Mirage: Minagiwa no Hangyakusha,"['Action', 'Romance', 'Supernatural', 'Historical', 'Drama', 'Shoujo', 'Shounen Ai']",4709,3763.0,7.01
21431,Gokukoku no Brynhildr,"['Drama', 'Mystery', 'Sci-Fi', 'Seinen']",411,3761.0,7.01
5152,Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!,"['Action', 'Adventure', 'Comedy', 'Fantasy']",2299,3759.0,7.01
33658,Girls & Panzer: Kore ga Hontou no Anzio-sen Desu! - Fushou Akiyama Yukari no Sensha Kouza,"['Military', 'School']",7241,3760.0,7.01
2630,Doraemon Meets Hattori the Ninja,"['Comedy', 'Kids', 'Sci-Fi', 'Shounen']",9005,3758.0,7.01
1151,Dominion,"['Sci-Fi', 'Comedy', 'Police', 'Mecha']",4036,3757.0,7.01
17827,Daitoshokan no Hitsujikai,"['Harem', 'Romance', 'School']",1266,3756.0,7.01
8358,Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou,"['Action', 'Adventure', 'Comedy', 'Seinen']",6513,3754.0,7.01
5031,Cobra The Animation: Time Drive,"['Action', 'Adventure', 'Space', 'Sci-Fi']",6929,3753.0,7.01
10116,Crayon Shin-chan Movie 19: Arashi wo Yobu Ougon no Spy Daisakusen,"['Comedy', 'Seinen']",8354,3755.0,7.01
4646,Cobra The Animation: The Psycho-Gun,"['Action', 'Adventure', 'Mecha', 'Sci-Fi', 'Space']",6249,3752.0,7.01
751,Bomberman Jetters,"['Action', 'Sci-Fi', 'Adventure', 'Comedy']",7023,3751.0,7.01
25729,Tamayura: Sotsugyou Shashin Part 1 - Kizashi,"['Comedy', 'Drama', 'Slice of Life']",4823,1205.0,7.68
6046,Tales of Vesperia: The First Strike,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Military']",2173,1204.0,7.68
2787,Shakugan no Shana II (Second),"['Action', 'Drama', 'Fantasy', 'Romance', 'School', 'Supernatural']",408,1203.0,7.68
34161,Overlord Movie 1: Fushisha no Ou,"['Action', 'Game', 'Supernatural', 'Magic', 'Fantasy']",2024,1202.0,7.68
37954,Neo-Aspect,['Music'],8769,1201.0,7.68
7695,Pokemon Movie 13: Genei no Hasha Zoroark,"['Action', 'Adventure', 'Fantasy', 'Kids']",2152,3776.0,7.01
10923,Tantei Opera Milky Holmes: Summer Special,"['Comedy', 'Mystery', 'Super Power']",5331,3781.0,7.01
8348,Tengen Toppa Gurren Lagann: Parallel Works 2,"['Mecha', 'Music']",3369,3782.0,7.01
26453,Tribe Cool Crew,"['Music', 'School']",6209,3785.0,7.01
4773,Yamato Takeru,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Mecha', 'Sci-Fi', 'Shounen', 'Space']",8633,3786.0,7.01
9776,A-Channel,"['Comedy', 'School', 'Seinen', 'Slice of Life']",1351,3787.0,7.0
10737,A-Channel: +A-Channel,"['Comedy', 'School', 'Slice of Life', 'Seinen']",3526,3788.0,7.0
17677,Buki yo Saraba,"['Action', 'Drama', 'Sci-Fi']",4755,3790.0,7.0
9314,Fractale,"['Adventure', 'Fantasy', 'Sci-Fi']",1496,3794.0,7.0
4983,Hells,"['Adventure', 'Comedy', 'Horror']",3282,3797.0,7.0
2112,Over Drive,"['Shounen', 'Sports']",2304,1284.0,7.65
8675,Seitokai Yakuindomo,"['Comedy', 'School', 'Shounen', 'Slice of Life']",290,1286.0,7.65
11531,UN-GO: Inga-ron,"['Mystery', 'Supernatural']",2529,1292.0,7.65
37976,Zombieland Saga,"['Music', 'Comedy', 'Supernatural']",462,1296.0,7.65
38101,5-toubun no Hanayome,"['Harem', 'Comedy', 'Romance', 'School', 'Shounen']",514,1297.0,7.64
37614,Hitoribocchi no Marumaru Seikatsu,"['Comedy', 'School', 'Shounen', 'Slice of Life']",1166,1350.0,7.62
5039,Kurozuka,"['Action', 'Drama', 'Historical', 'Horror', 'Romance', 'Sci-Fi', 'Vampire']",1429,3850.0,6.99
16524,Suisei no Gargantia,"['Action', 'Sci-Fi', 'Adventure', 'Mecha']",392,1549.0,7.56
34547,Shoukoku no Altair,"['Military', 'Adventure', 'Historical', 'Drama', 'Fantasy', 'Shounen']",1893,1548.0,7.56
10589,Naruto: Shippuuden Movie 5 - Blood Prison,"['Action', 'Adventure', 'Martial Arts', 'Super Power', 'Mystery', 'Shounen']",897,1545.0,7.56
36522,Ling Qi 2,"['Action', 'Comedy', 'Magic', 'Shounen Ai', 'Supernatural']",3260,1544.0,7.56
1651,Uchuu Senkan Yamato 2,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama']",5462,1600.0,7.54
4654,Toaru Majutsu no Index,"['Action', 'Magic', 'Sci-Fi', 'Super Power']",122,1599.0,7.54
200,Tenshi na Konamaiki,"['Comedy', 'Magic', 'Romance', 'Shounen']",3154,1598.0,7.54
8995,Tales of Symphonia The Animation: Sekai Tougou-hen,"['Action', 'Adventure', 'Magic', 'Martial Arts', 'Fantasy']",3228,1597.0,7.54
5118,Suzumiya Haruhi-chan no Yuuutsu,"['Comedy', 'Parody']",1285,1596.0,7.54
10469,Sayonara Zetsubou Sensei Special,"['Comedy', 'Mystery', 'Parody', 'Shounen']",3802,1595.0,7.54
36873,Back Street Girls: Gokudolls,"['Comedy', 'Ecchi', 'Seinen']",1589,4050.0,6.93
8422,Vampire Knight: Gekiai no Portrait,"['Comedy', 'Vampire', 'Shoujo']",2518,4049.0,6.94
