profile,favorites_anime
BTDee,"['23755', '16067', '16498', '34572', '8074', '39533', '35790', '18115', '11665']"
Asasphinx,"['232', '66', '77', '934', '4282', '7311', '9253', '14131', '18679', '4087']"
LegendAqua,"['32843', '2787', '2001', '37991', '13601', '232', '31988', '10087', '9253', '10278']"
CinaGinger,"['431', '1698', '30736', '33489', '1375', '34599', '4087', '12431', '16', '19']"
LandingZone,"['37965', '18679', '33489', '37450', '35788', '28171', '36456', '32937', '33486', '4224']"
ryuichi_crosszer,"['12711', '22', '7058', '235', '3092']"
Makimidorikawa,[]
MoriHimari,"['23273', '350', '10721', '6045', '1604', '15061', '28297']"
Fire,"['7674', '21185', '14075', '9253', '31043', '21995', '32729', '2034', '38524', '27775']"
jc9622,"['7311', '28851', '11981', '9253', '37786', '35180', '39198', '31240', '23847', '21327', '35839', '17074', '36296', '4725', '28907', '33486']"
SmilingSakura,"['1887', '2164', '8425', '4181', '584', '9756', '12149']"
KnicePerson,"['23273', '33255', '30015', '24833']"
thesailingship,"['9930', '21469']"
Dcm18,"['30', '813', '268', '1', '5114']"
ktulu007,[]
Firechick12012,"['1557', '6211', '4081', '2623', '604', '1695', '387', '338', '2199']"
88expert,"['721', '2559', '23273', '32483', '1826', '35222', '33314', '32951', '32673']"
Darynlxm,"['6547', '853', '849']"
PokeFan2112,"['527', '249', '1122', '1120', '1117', '1118', '528', '6811', '740', '530']"
Shaja,"['210', '300', '566', '1293']"
kayori1928,"['136', '1575', '10087', '10620', '150']"
Marii-nyan,"['5680', '7791', '10620', '22199', '6547', '10495', '6045', '4181']"
Falco2424,"['32', '19', '145', '339', '820', '26', '1', '31757', '1575', '44']"
Dante012,"['2581', '4181', '2904']"
Pixeldrum,[]
Crack-san,"['1575', '23283', '16742', '10165', '9253', '7791', '14075', '9756', '12189', '6746']"
jmsxjrdn,"['7674', '11061', '35062', '9253', '34561', '3167', '22535', '21', '28223', '35557']"
dirtbum,"['10165', '35838', '38753', '227', '10162', '12355', '35968', '37450', '35839']"
DarkSoul218,[]
Otaku1985,"['10165', '19', '5081', '9253', '12355', '323', '164', '820', '43', '1689']"
FukaseKun,"['31964', '38000', '20', '20583', '32182', '1735']"
TK8878,"['9756', '11741', '12189', '4224', '9253']"
cappedea,"['5114', '849', '32281', '4181', '35839']"
rondoblend,"['5114', '21', '516']"
Moebeetus,"['7791', '16732', '14967', '16592', '530']"
Pavuss,[]
PixlReality,"['13601', '23273', '457', '16067', '9253', '7791', '31043', '18679', '7724', '4224']"
highofftap,"['1210', '28851', '9253', '934', '226', '22535', '2104', '31240', '634', '57']"
nonameacquired,"['32281', '32', '339', '30', '33489']"
DanevsAnime,"['21647', '9289', '6802', '2963', '855', '9756', '2013', '5680', '31376']"
Zeroark,"['2476', '19369', '5909', '2167', '8861']"
tex33hunter,"['12413', '13331', '28907', '38680']"
SkyeRwby,[]
_Ghastly_Grimm_,[]
Rizkiawan-kun,"['3297', '9253', '4181', '9969', '1889', '5114', '13125', '35180', '35839', '5420']"
palmeister21,"['12549', '2904', '1575']"
kuudere-ish,"['23283', '7791', '13601', '16498']"
Ali_19,"['4181', '1575', '18897', '1535', '21', '269', '23273', '16498', '23847', '31240']"
iEmnesty,"['7791', '5341', '226', '9989', '5630']"
Treima,"['9756', '10087', '19815', '5114', '32281', '13601', '10165', '9253', '11061', '30']"
laigle-noir,"['10568', '120', '2966', '5680', '11887', '33352']"
ShelbyWAO,['5680']
usaking,"['7311', '4181', '3297', '339', '457', '1530', '199', '33352', '164', '10165', '26', '24', '578', '4981', '6547', '35838', '35180', '14741', '34599', '1887']"
firebug,"['5680', '66']"
gunny1993,"['6547', '5680']"
gayanime,"['1', '27989', '32182', '30', '232']"
worldsend007,"['1', '210', '249', '440', '6811']"
Bsum,"['31043', '7791', '9253', '22535', '20', '16498']"
dragafire,"['21', '57', '205', '237', '267']"
Monikon,"['5958', '5680']"
swc1098,"['477', '10087', '9253', '4181', '16498']"
Howwl,[]
DustPotato,"['19815', '10456', '12487', '2904', '11757', '10568', '15039', '2167']"
Phoenix_Trite,"['7791', '527', '18195', '14511', '23327', '2001', '5341', '30279', '1519', '28171']"
KomanoOhta,"['14719', '5081', '9756', '2001', '1', '3002', '30', '9253', '227', '239']"
Zomino,"['16894', '3297', '263', '16918', '9253']"
CorrinPiy,[]
toloverufan,"['5667', '13663', '13851', '3455', '9181']"
EHeroReview,[]
Fairytopia,"['3588', '101', '6746', '9989', '10408']"
isumi-chan,"['6702', '9756', '849', '6547', '21']"
PoDH,"['8525', '2026', '13599', '9253', '6547']"
arrays,"['5114', '32281', '22535', '13601', '5081', '205', '28171', '23847', '7311', '4181']"
Battousai_027,"['45', '21', '9969', '10030', '1735']"
cigardah,"['30276', '28171', '918', '1', '20583', '5114', '392']"
baellistA,"['19', '1535', '9253', '32281', '34542', '1575', '14075', '13601', '35247']"
MillenniumA,[]
Pikangie,"['8339', '1060', '31762', '27727', '31174', '10161', '13601', '5060', '4898', '48']"
Waldy565,"['2605', '16498', '1372', '1']"
Masternji,"['32281', '34125', '28623', '5680', '30831', '13759', '4224']"
simoku,"['7791', '30', '5081', '1210', '9756', '1251', '9253', '110', '145', '10495']"
chinodesuuu,"['37991', '5680', '31988', '27989']"
HeavenBlade,"['14813', '35247', '5114', '32281', '5680', '27989', '15051', '33352', '32', '9253']"
Knifilia,[]
Malthorian,"['967', '820', '2001', '918']"
Craftarc,[]
Pockers,"['13125', '34599']"
FHero,"['5680', '9253', '31240', '20507']"
OwlsAreAirCats,"['28851', '4224', '9253', '10165']"
MrMawrvel,"['22135', '523', '227', '11061', '47', '18679', '21', '164', '1', '5114']"
DeathWish249,"['2001', '30', '9756', '12445', '13759']"
BrigadeHamtaro,"['8557', '10378', '10588']"
CurseDestiny,"['4565', '120', '934', '5081', '18119', '31637']"
ShuuTsukTrash,[]
ArchetypeEithe,"['9041', '10719', '2167', '2966', '5680']"
yoshi64,"['6213', '7311', '4181', '73', '9289']"
Hejin,"['31933', '20057', '11061', '27947', '95', '2001', '5507', '9253', '18679']"
Ganz7,"['11061', '4181', '23847', '31240', '5680', '12189']"
AmiTomoko189,"['934', '4898', '2167']"
godofmankind,"['7785', '43', '31758', '32', '437', '199', '9253', '227', '2904', '1535']"
Shinonono_Houki,"['22199', '33489', '14741', '6547', '17549', '19221', '21085', '1470', '967', '6171']"
Far_Together,"['856', '66', '299', '48', '1', '26349']"
Lolsebca,"['9756', '39071', '36286', '31564', '37579', '19815', '30831', '31953', '33731', '33161']"
InkSpider,"['437', '35842', '36214', '441', '16742', '43', '227', '339', '1210', '1']"
FrostyHippo,"['5114', '9253', '627', '23755']"
Plucky-San,"['66', '14741', '8129', '696', '1887', '5680', '6574', '488', '10495']"
Ollleksa,"['2001', '22297', '31043', '5680', '13601', '1210', '1', '467']"
Scadger,"['23273', '10165', '7791', '9253', '25835']"
scottpilgrim10,"['9253', '4181', '35180', '28851', '37510', '32979', '31988', '572', '121', '19']"
ComradeKane,"['813', '5680', '2966']"
dragonwarrior123,"['8769', '5680', '10110', '16498', '20']"
FenrirS,[]
Zogger568,"['23289', '9617', '5680']"
gummyghost,"['4087', '9756', '457', '20583']"
Taisho-san,"['34599', '10165', '5680', '17549', '2966', '16742', '10495', '33206']"
omJIE,"['5680', '226', '1575', '6547', '8424']"
ChanMidori,"['11759', '227']"
shleepers,[]
JayJ017,"['19815', '7791', '28171', '31240']"
MaikeruN-San,"['5680', '32281', '22297', '15809', '5114']"
Theonewhorules,"['30', '28851', '11061', '5081', '9989', '6746', '27989', '9253']"
Itadakiimasu,"['263', '11061', '1698', '37430', '5114']"
Xavveina,"['6512', '10790', '11499', '4224', '1195', '3467', '38000']"
Katie-Everly,"['2251', '199', '19815']"
ssdcgaddq,"['4181', '11741', '2924', '18245', '9756']"
SimplyCosmo,"['21', '32281', '13759', '23273', '28851', '9253', '12531', '4224', '6045', '5114']"
asdfrq2dg,[]
SoraKiryu,"['5680', '9756', '1887', '3588', '2923']"
SolistraSora,[]
bearvarine,"['9919', '8769', '387', '9289', '31043']"
jaedencex,"['7791', '232', '27989', '11061', '440', '23623', '2001', '205', '30', '9926']"
Glamrgrl104,"['2076', '28171', '20899', '36028', '71', '14345']"
XoXoXoXoXo,"['17895', '11887', '9253', '7791', '7674']"
ratchet573,"['400', '801', '9253', '22297', '567']"
icurry,"['5680', '1482', '31240', '9379', '28701', '10087', '14833', '5081', '23283']"
sachi_shimazu,"['5680', '6547', '9756', '15809', '9253']"
plaide,['5680']
guitarreaper254,[]
Kirbypower521,"['5680', '14719', '30831', '33206', '30307', '8675', '21273']"
HermanoDigital,[]
wonderlander_7,"['3470', '853', '1887', '2167', '5680', '1604', '12291', '19815']"
instagramposter,[]
Guru93,"['2167', '8536', '5680', '9756', '15583', '11757']"
Animeluverz125,"['20583', '6702', '5680', '6045', '74']"
NotRealLife,"['232', '3297', '1462', '7791']"
Very6oodDays,"['2026', '849', '6547', '355', '5680']"
CthuluChan,"['10793', '5680', '8074', '30']"
AyanAbdullah,"['2904', '30', '820', '37991']"
vitriolcocktail,[]
XxTracerxXX,"['3927', '2167', '10793', '2001']"
kitten320,"['1571', '4725', '5682', '14397', '98', '1818', '245', '7724', '5114', '121']"
NiceKyubey,"['4181', '9756', '4177', '28171']"
Supakonpyuta,['2164']
RKO48,"['38084', '39940']"
Unbold,"['5680', '16201']"
AgueroKun10,"['16', '240', '2034', '3358', '1530']"
DerpCat,"['30', '1']"
NepetaLeijon,['5680']
Xybirk,"['9756', '440', '22297', '1575', '5680']"
bniz37,"['6547', '4224']"
sleepwalker,"['14741', '9989', '23283', '30831', '31964', '10495', '30276', '227', '28497', '28621']"
SolitudeFreak24,['245']
mobiusstrider,"['1575', '5114', '18679', '1887', '10165']"
Fear_the_Reefer,"['121', '4224', '721', '849', '1', '9756', '2966', '33', '934', '239']"
